No,Language,Language (local),Wiki,Articles,All pages,Edits,Admins,Users,Active users,Files,Depth
296,Mossi,moore,mos,"1,303","2,086","31,414",0,"1,221",13,0,5
297,Ewe,eʋegbe,ee,"1,267","4,252","59,621",2,"16,525",25,0,77
298,Lak,лакку,lbe,"1,255","16,192","53,914",1,"9,433",13,0,471
299,Tahitian,reo tahiti,ty,"1,250","3,076","54,003",1,"8,426",14,0,37
300,Taroko,Seediq,trv,"1,201","2,209","104,026",1,"2,743",13,0,33
301,Batak Toba,Batak Toba,bbc,"1,200","2,261","14,351",2,"2,093",22,0,4
302,Kusaal,Kʋsaal,kus,"1,195","1,777","14,097",0,935,14,0,1
303,Sylheti,ꠍꠤꠟꠐꠤ,syl,"1,194","6,112","29,127",1,"1,270",13,0,80
304,Batak Mandailing,Batak Mandailing,btm,"1,181","2,657","11,917",1,"1,226",12,0,7
305,Samoan,Gagana Samoa,sm,"1,177","6,144","47,574",1,"11,787",22,0,137
306,Amis,Pangcah,ami,"1,145","2,252","47,769",1,"3,310",14,0,19
307,Swati,SiSwati,ss,"1,133","3,479","42,224",3,"9,997",18,0,52
308,Sranan Tongo,Sranantongo,srn,"1,129","2,730","40,005",1,"8,716",14,0,29
309,Latgalian,latgaļu,ltg,"1,111","3,406","37,099",1,"8,450",16,0,46
310,Southern Altai,алтай тил,alt,"1,102","6,983","48,145",2,"4,155",11,0,196
311,Nyanja,Chi-Chewa,ny,"1,099","5,413","48,233",2,"12,198",22,0,137
312,Guianan Creole,kriyòl gwiyannen,gcr,"1,075","2,670","17,592",1,"4,078",16,0,14
313,Arakanese,ရခိုင်,rki,"1,060","3,178","15,599",2,615,40,0,19
314,Cherokee,ᏣᎳᎩ,chr,"1,000","4,065","51,093",1,"29,781",28,0,118
315,Gothic,𐌲𐌿𐍄𐌹𐍃𐌺,got,976,"3,946","48,357",2,"22,108",29,0,113
316,Tsonga,Xitsonga,ts,954,"4,243","39,715",2,"12,076",23,0,111
317,Pannonian Rusyn,руски,rsk,934,"2,132","12,910",1,"1,547",15,0,9
318,Igala,Igala,igl,933,"1,330","32,722",0,"1,139",15,0,4
319,Bambara,bamanankan,bm,920,"3,329","41,837",1,"12,340",17,0,86
320,Venda,Tshivenda,ve,822,"2,417","21,214",1,"9,091",12,0,33
321,Vlax Romani,romani čhib,rmy,756,"2,843","57,044",1,"19,141",15,0,152
322,Cheyenne,Tsetsêhestâhese,chy,724,"2,285","25,364",1,"13,466",23,0,51
323,Rundi,ikirundi,rn,703,"2,727","26,782",1,"11,043",15,0,81
324,Wayuu,wayuunaiki,guc,687,"1,341","17,622",2,"2,332",41,0,11
325,Adyghe,адыгабзэ,ady,615,"4,646","16,118",1,"9,677",26,0,149
326,Inupiaq,Iñupiatun,ik,604,"2,870","40,238",1,"9,972",17,0,197
327,Chamorro,Chamoru,ch,557,"2,585","24,468",1,"17,818",24,0,125
328,Pontic,Ποντιακά,pnt,488,"2,106","36,247",1,"12,032",14,0,189
329,Nupe,Nupe,nup,486,997,"17,037",3,756,16,0,18
330,Obolo,Obolo,ann,433,891,"4,842",1,946,12,0,6
331,Inuktitut,ᐃᓄᒃᑎᑐᑦ / inuktitut,iu,424,"3,009","48,608",2,"32,905",49,0,600
332,Dzongkha,ཇོང་ཁ,dz,377,"5,484","38,272",1,"12,619",33,0,"1,280"
333,Paiwan,pinayuanan,pwn,375,631,"12,967",1,"2,423",14,0,9
334,Sango,Sängö,sg,368,"2,062","21,545",1,"7,593",13,0,221
335,Tai Nuea,ᥖᥭᥰ ᥖᥬᥲ ᥑᥨᥒᥰ,tdd,342,"1,855","6,582",1,828,9,0,69
336,Dinka,Thuɔŋjäŋ,din,338,"1,126","9,016",1,"7,360",14,0,43
337,Tigrinya,ትግርኛ,ti,335,"3,027","25,599",2,"10,936",25,0,546
338,Pali,पालि,pi,290,"1,826","102,864",1,"8,196",14,1,"1,580"
339,South Ndebele,isiNdebele seSewula,nr,266,836,"5,712",0,"1,092",16,0,31
340,Kalaallisut,kalaallisut,kl,245,"2,290","76,382",3,"15,555",24,0,"2,323"
341,West Coast Bajau,Bajau Sama,bdr,236,"1,315","5,493",1,"1,149",13,0,87
342,Tigre,ትግሬ,tig,44,478,"6,408",1,"1,051",12,0,"1,304"
343,Cree,Nēhiyawēwin / ᓀᐦᐃᔭᐍᐏᐣ,cr,14,"2,342","40,983",2,"22,495",25,0,"483,867"
